# mapping_set_id: https://w3id.org/aas-dpp/mappings
# license: https://creativecommons.org/licenses/by/4.0/
# subject_source: admin-shell-io/submodel-templates@main
# comment: identifiers that cannot be used as an RDF IRI as written,
#   and the construction that gives each one. Identifiers that are
#   already legal IRIs are used unchanged and are not listed.
subject_id	subject_label	predicate_id	object_id	mapping_justification	subject_source	subject_source_version	object_source	mapping_tool	confidence	subject_type	comment
0112/2///61360_7#AAS002#001	SubmodelElementCollection	skos:exactMatch	https://w3id.org/aas-dpp/id/ee277d61a1f51a952a20003daef953d0c2767c416081a2805e6e0734889c171e	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=supplementalSemanticIds; dereferences=no
0112/2///61360_7#AAS006	SubmodelElementList	skos:exactMatch	https://w3id.org/aas-dpp/id/657edf31fdefe84bc83eff1b53c2a100993ff465639efcb2c8893deb8d7ec812	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=semanticId; dereferences=no
0112/2///61360_7#AAS009#001	SubmodelElementCollection	skos:exactMatch	https://w3id.org/aas-dpp/id/5923f9f8bbe6518553b582e3e23bca97bd3e74ee64cd37f18406f1f0a727ae7f	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=semanticId; dereferences=no
0112/2///61987#ABA231#009	Property	skos:exactMatch	https://w3id.org/aas-dpp/id/dc0ad92ed11bc4c915a7174c5ffe4a79f47cee6e74a602452dffbe495860a649	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=semanticId; dereferences=no
0112/2///61987#ABA565#009	MultiLanguageProperty	skos:exactMatch	https://w3id.org/aas-dpp/id/b02850a1431ac3a3d073954330f4755af09962d959614a2b426ae4e73828b96d	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=semanticId; dereferences=no
0112/2///61987#ABA951#009	Property	skos:exactMatch	https://w3id.org/aas-dpp/id/4a20f3856526677676a16f732e8243346f8fb712dbdabc4594326acbb8a4cf22	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=semanticId; dereferences=no
0112/2///61987#ABB146#007	Property	skos:exactMatch	https://w3id.org/aas-dpp/id/ba48d4397f4691b4024c9a5645dcac8c341d89b02fbdf92408a752c923f34382	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=semanticId; dereferences=no
0112/2///61987#ABB757#007	Property	skos:exactMatch	https://w3id.org/aas-dpp/id/fb2551e9e397bd7c75cd1ccf808e06b2e2fb0bc9e738b8d84ce91b373432bcef	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=semanticId; dereferences=no
0112/2///61987#ABH783#003	Property	skos:exactMatch	https://w3id.org/aas-dpp/id/3bd476875eac749195ef70cb90fdf1c694be464e847a5a8139c275a7c5fba89b	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=semanticId; dereferences=no
0112/2///61987#ABH830#002	Property	skos:exactMatch	https://w3id.org/aas-dpp/id/0370772c73f19343beb6d7f47cd22857d9bf85fb066cec4dc2f3b0f86f1c586c	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=semanticId; dereferences=no
0112/2///61987#ABN590#002	Property	skos:exactMatch	https://w3id.org/aas-dpp/id/aa22d09599ef60909b14a81bfc94d1aa9437902392a7a51e09db5c59f161a482	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=semanticId; dereferences=no
0112/2///61987#ABO097#001	Property	skos:exactMatch	https://w3id.org/aas-dpp/id/37897a9e930dbd6b18fbd4856a1b803d5d54a8fc800e3e910094a2669c1548cd	aas-dpp-hash	admin-shell-io/submodel-templates	main	IEC CDD IRDI	dpp_map.py	0.5	GlobalReference	members=semanticId; dereferences=no
